steamId,firstReleaseDate,copiesSold,price,revenue,reviewScore
1172470,2020-11-04T05:00:00.000Z,73120117,0,1531911591,67
1086940,2020-10-06T04:00:00.000Z,15431751,59.99,756241033,97
1091500,2020-12-09T05:00:00.000Z,21415338,59.99,744203414,86
1172620,2020-06-03T04:00:00.000Z,12132753,39.99,273647625,89
739630,2020-09-18T04:00:00.000Z,21368718,19.99,246460503,96
261550,2020-03-30T04:00:00.000Z,6672317,49.99,234557001,88
526870,2020-06-08T00:00:00.000Z,7198812,39.99,170527866,97
782330,2020-03-19T04:00:00.000Z,6087471,39.99,169809262,91
1222670,2020-06-18T04:00:00.000Z,24506288,0,159524696,87
1158310,2020-09-01T04:00:00.000Z,5116811,49.99,152838251,91
397540,2020-03-13T04:00:00.000Z,8943311,59.99,143681302,81
962130,2020-07-28T04:00:00.000Z,4644612,39.99,121331922,90
1286830,2020-07-21T04:00:00.000Z,5711233,0,119540368,90
546560,2020-03-23T04:00:00.000Z,2892227,59.99,117361697,98
1238810,2020-06-01T00:00:00.000Z,16120717,49.99,112843008,71
1151340,2020-04-14T04:00:00.000Z,4991737,39.99,101218360,73
1222140,2020-06-18T04:00:00.000Z,6226511,39.99,98482630,96
1222680,2020-06-04T04:00:00.000Z,7958130,69.99,87999002,84
1250410,2020-08-17T04:00:00.000Z,1796304,59.99,86884565,79
1049590,2020-10-14T04:00:00.000Z,5641368,0,80607929,76
1057090,2020-03-10T04:00:00.000Z,5394795,29.99,77186670,97
1237970,2020-06-18T04:00:00.000Z,12401338,29.99,61576773,96
1056640,2020-08-05T04:00:00.000Z,2401759,0,61460921,70
495420,2020-03-13T04:00:00.000Z,3819607,29.99,57669579,83
1238840,2020-06-11T04:00:00.000Z,11672711,39.99,57051552,87
1217060,2020-05-05T04:00:00.000Z,4744915,19.99,54113965,93
1343400,2020-10-14T04:00:00.000Z,3897446,0,52538791,82
1167630,2020-10-29T04:00:00.000Z,2901191,29.99,52489136,96
1129580,2020-09-17T04:00:00.000Z,2197254,34.99,51628202,91
1139900,2020-10-27T04:00:00.000Z,2780059,29.99,50718336,91
851850,2020-01-16T05:00:00.000Z,1788027,19.99,50055663,93
1229490,2020-01-29T05:00:00.000Z,2356135,24.99,44874437,98
753640,2020-06-18T04:00:00.000Z,2763567,24.99,42274299,96
745920,2020-01-21T05:00:00.000Z,1316230,44.99,41559670,82
1030840,2020-09-24T04:00:00.000Z,3947549,39.99,40357776,87
1151640,2020-08-07T04:00:00.000Z,5498520,0,37302365,88
952060,2020-04-01T00:00:00.000Z,3171904,59.99,37238630,82
870780,2020-08-27T04:00:00.000Z,2501640,39.99,36388573,87
1237950,2020-06-11T04:00:00.000Z,3701933,39.99,34837120,88
1235140,2020-11-10T05:00:00.000Z,1269974,19.99,32202764,94
1222730,2020-10-01T04:00:00.000Z,1582771,39.99,31161358,65
719040,2020-08-27T04:00:00.000Z,890291,39.99,30199779,85
1258080,2020-05-05T04:00:00.000Z,3155154,0,30087261,78
1222700,2020-06-18T04:00:00.000Z,4794498,29.99,29899949,88
1113000,2020-06-13T04:00:00.000Z,1953162,19.99,29801540,97
578650,2020-10-23T04:00:00.000Z,1347133,29.99,27133882,83
1335200,2020-10-05T04:00:00.000Z,2327018,0,25117022,83
1404210,2020-12-01T05:00:00.000Z,2473418,19.99,24433860,83
1147560,2020-02-18T05:00:00.000Z,2351748,19.99,24283641,93
1307550,2020-09-04T04:00:00.000Z,1229666,24.99,22981349,77
1238860,2020-06-11T04:00:00.000Z,3674195,39.99,22387819,85
1213210,2020-06-05T04:00:00.000Z,1784297,19.99,21922374,91
837470,2020-09-23T04:00:00.000Z,2143666,19.99,21605550,96
1377580,2020-10-01T00:00:00.000Z,1413401,0,21391156,71
972660,2020-08-18T04:00:00.000Z,2248962,29.99,21091010,95
1089090,2020-03-26T04:00:00.000Z,1144320,39.99,20119248,92
1102190,2020-05-21T04:00:00.000Z,1452615,24.99,20097880,96
933110,2020-10-15T04:00:00.000Z,6570003,0,19741602,85
916840,2020-01-23T05:00:00.000Z,634281,19.99,19666684,86
1150690,2020-12-25T05:00:00.000Z,1346096,19.99,19638836,97
872410,2020-01-15T05:00:00.000Z,534468,59.99,19572174,63
1144400,2020-02-14T05:00:00.000Z,1024468,34.99,18365427,99
895400,2020-04-14T04:00:00.000Z,1251886,24.99,17996427,76
1030830,2020-05-19T04:00:00.000Z,1509406,29.99,17175451,73
1253920,2020-08-18T04:00:00.000Z,1019626,24.99,16349907,91
1211630,2020-10-14T04:00:00.000Z,649651,29.99,15878023,96
1049410,2020-11-05T05:00:00.000Z,1390653,19.99,15668069,95
1449690,2020-10-29T04:00:00.000Z,1544329,49.99,15532234,97
1295510,2020-12-04T05:00:00.000Z,593343,39.99,15489537,93
692890,2020-08-20T04:00:00.000Z,879020,24.99,15478631,95
1161580,2020-06-16T04:00:00.000Z,837024,34.99,15394383,89
969990,2020-06-23T04:00:00.000Z,862012,29.99,15231217,94
1126320,2020-02-13T05:00:00.000Z,1374132,13.99,14819427,96
1090630,2020-03-13T04:00:00.000Z,919542,19.99,14769398,83
803330,2020-07-28T04:00:00.000Z,747642,29.99,14655473,92
1227890,2020-06-14T04:00:00.000Z,2134292,19.99,14121983,93
610370,2020-06-16T04:00:00.000Z,665457,39.99,14033144,96
1089980,2020-08-07T04:00:00.000Z,1331561,14.99,13712537,99
1041720,2020-09-08T04:00:00.000Z,534210,39.99,13215287,77
1256670,2020-05-15T04:00:00.000Z,856499,29.99,13003655,94
1239080,2020-11-03T05:00:00.000Z,641371,24.99,12648064,96
1359090,2020-08-12T04:00:00.000Z,1783432,9.99,12307599,78
1066890,2020-03-31T04:00:00.000Z,621692,39.99,12125072,92
257420,2020-09-24T04:00:00.000Z,611461,39.99,11921412,83
1259980,2020-10-08T04:00:00.000Z,905923,39.99,11821972,82
1222690,2020-06-04T04:00:00.000Z,1347817,39.99,11666825,76
1094520,2020-01-02T05:00:00.000Z,1392344,14.99,11584340,82
953490,2020-07-23T04:00:00.000Z,1007660,19.99,11111474,95
625960,2020-02-06T05:00:00.000Z,848570,24.99,10789036,74
