steamId,name,unreleased,firstReleaseDate,earlyAccess,copiesSold,price,revenue,reviewScore,publisherClass,publishers,developers,headerUrl,steamUrl
1172470,Apex Legends™,False,2020-11-04T05:00:00.000Z,False,73120117,0,1531911591,67,AAA,Electronic Arts,Respawn,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1172470/6ae90b012e725a93622c3694d9d866b886cfd0f8/header.jpg?t=1762457261,https://store.steampowered.com/app/1172470
1086940,Baldur's Gate 3,False,2020-10-06T04:00:00.000Z,False,15431751,59.99,756241033,97,AAA,Larian Studios,Larian Studios,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1086940/48a2fcbda8565bb45025e98fd8ebde8a7203f6a0/header.jpg?t=1759825106,https://store.steampowered.com/app/1086940
1091500,Cyberpunk 2077,False,2020-12-09T05:00:00.000Z,False,21415338,59.99,744203414,86,AAA,CD PROJEKT RED,CD PROJEKT RED,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1091500/e9047d8ec47ae3d94bb8b464fb0fc9e9972b4ac7/header.jpg?t=1756209867,https://store.steampowered.com/app/1091500
1172620,Sea of Thieves: 2025 Edition,False,2020-06-03T04:00:00.000Z,False,12132753,39.99,273647625,89,AAA,Xbox Game Studios,Rare Ltd,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1172620/header.jpg?t=1755260861,https://store.steampowered.com/app/1172620
739630,Phasmophobia,False,2020-09-18T04:00:00.000Z,True,21368718,19.99,246460503,96,AA,Kinetic Games,Kinetic Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/739630/c227a2855aba60f3657bc0c3a46515b8c41fb2b6/header.jpg?t=1763980860,https://store.steampowered.com/app/739630
261550,Mount & Blade II: Bannerlord,False,2020-03-30T04:00:00.000Z,False,6672317,49.99,234557001,88,AA,TaleWorlds Entertainment,TaleWorlds Entertainment,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/261550/header.jpg?t=1764100216,https://store.steampowered.com/app/261550
526870,Satisfactory,False,2020-06-08T00:00:00.000Z,False,7198812,39.99,170527866,97,AAA,Coffee Stain Publishing,Coffee Stain Studios,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/526870/header.jpg?t=1749717464,https://store.steampowered.com/app/526870
782330,DOOM Eternal,False,2020-03-19T04:00:00.000Z,False,6087471,39.99,169809262,91,AAA,Bethesda Softworks,id Software,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/782330/header.jpg?t=1755109910,https://store.steampowered.com/app/782330
1222670,The Sims™ 4,False,2020-06-18T04:00:00.000Z,False,24506288,0,159524696,87,AAA,Electronic Arts,Maxis,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1222670/header.jpg?t=1763056950,https://store.steampowered.com/app/1222670
1158310,Crusader Kings III,False,2020-09-01T04:00:00.000Z,False,5116811,49.99,152838251,91,AAA,Paradox Interactive,Paradox Development Studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1158310/76c895ee1bf12666d2b76b86b8e6cf9515a8b6db/header_alt_assets_11.jpg?t=1764085178,https://store.steampowered.com/app/1158310
397540,Borderlands 3,False,2020-03-13T04:00:00.000Z,False,8943311,59.99,143681302,81,AAA,2K,Gearbox Software,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/397540/header.jpg?t=1750802377,https://store.steampowered.com/app/397540
962130,Grounded,False,2020-07-28T04:00:00.000Z,False,4644612,39.99,121331922,90,AAA,Xbox Game Studios,Obsidian Entertainment,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/962130/header.jpg?t=1727719725,https://store.steampowered.com/app/962130
1286830,STAR WARS™: The Old Republic™,False,2020-07-21T04:00:00.000Z,False,5711233,0,119540368,90,AAA,Electronic Arts,Broadsword,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1286830/header.jpg?t=1764088482,https://store.steampowered.com/app/1286830
546560,Half-Life: Alyx,False,2020-03-23T04:00:00.000Z,False,2892227,59.99,117361697,98,AAA,Valve,Valve,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/546560/header.jpg?t=1762986588,https://store.steampowered.com/app/546560
1238810,Battlefield™ V,False,2020-06-01T00:00:00.000Z,False,16120717,49.99,112843008,71,AAA,Electronic Arts,DICE,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1238810/header.jpg?t=1747167586,https://store.steampowered.com/app/1238810
1151340,Fallout 76,False,2020-04-14T04:00:00.000Z,False,4991737,39.99,101218360,73,AAA,Bethesda Softworks,Bethesda Game Studios,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1151340/a85a6d8e2f6444297f829f22fe6b6bbc2fb8e590/header.jpg?t=1756832490,https://store.steampowered.com/app/1151340
1222140,Detroit: Become Human,False,2020-06-18T04:00:00.000Z,False,6226511,39.99,98482630,96,AA,Quantic Dream,Quantic Dream,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1222140/header.jpg?t=1667468479,https://store.steampowered.com/app/1222140
1222680,Need for Speed™ Heat,False,2020-06-04T04:00:00.000Z,False,7958130,69.99,87999002,84,AAA,Electronic Arts,Ghost Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1222680/header.jpg?t=1716831270,https://store.steampowered.com/app/1222680
1250410,Microsoft Flight Simulator (2020) 40th Anniversary Edition,False,2020-08-17T04:00:00.000Z,False,1796304,59.99,86884565,79,AAA,Xbox Game Studios,Asobo Studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1250410/header.jpg?t=1748576233,https://store.steampowered.com/app/1250410
1049590,Eternal Return,False,2020-10-14T04:00:00.000Z,False,5641368,0,80607929,76,AA,"Nimble Neuron,SapStaR Games",Nimble Neuron,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1049590/498a7f1fb5a340503ec32612ed232b2a3e392a45/header.jpg?t=1762996107,https://store.steampowered.com/app/1049590
1057090,Ori and the Will of the Wisps,False,2020-03-10T04:00:00.000Z,False,5394795,29.99,77186670,97,AAA,Xbox Game Studios,Moon Studios GmbH,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1057090/header.jpg?t=1759530749,https://store.steampowered.com/app/1057090
1237970,Titanfall® 2,False,2020-06-18T04:00:00.000Z,False,12401338,29.99,61576773,96,AAA,Electronic Arts,Respawn Entertainment,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1237970/header.jpg?t=1726160226,https://store.steampowered.com/app/1237970
1056640,Phantasy Star Online 2 New Genesis,False,2020-08-05T04:00:00.000Z,False,2401759,0,61460921,70,AAA,SEGA,SEGA,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1056640/header.jpg?t=1761745433,https://store.steampowered.com/app/1056640
495420,State of Decay 2: Juggernaut Edition,False,2020-03-13T04:00:00.000Z,False,3819607,29.99,57669579,83,AAA,Xbox Game Studios,Undead Labs,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/495420/header.jpg?t=1741378867,https://store.steampowered.com/app/495420
1238840,Battlefield™ 1,False,2020-06-11T04:00:00.000Z,False,11672711,39.99,57051552,87,AAA,Electronic Arts,DICE,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1238840/header.jpg?t=1747168268,https://store.steampowered.com/app/1238840
1217060,Gunfire Reborn,False,2020-05-05T04:00:00.000Z,False,4744915,19.99,54113965,93,AA,Duoyi Games,Duoyi Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1217060/dd6c1906d262c38c183ccd711f192db187b5103f/header.jpg?t=1763455761,https://store.steampowered.com/app/1217060
1343400,RuneScape ®,False,2020-10-14T04:00:00.000Z,False,3897446,0,52538791,82,AA,Jagex Ltd,Jagex Ltd,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1343400/2354f470ed43dbcf63e168dc2b256285434ea52c/header.jpg?t=1750692577,https://store.steampowered.com/app/1343400
1167630,Teardown,False,2020-10-29T04:00:00.000Z,False,2901191,29.99,52489136,96,AA,Tuxedo Labs,Tuxedo Labs,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1167630/header.jpg?t=1763977691,https://store.steampowered.com/app/1167630
1129580,Medieval Dynasty,False,2020-09-17T04:00:00.000Z,False,2197254,34.99,51628202,91,AA,Toplitz Productions,Render Cube,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1129580/header.jpg?t=1763375266,https://store.steampowered.com/app/1129580
1139900,Ghostrunner,False,2020-10-27T04:00:00.000Z,False,2780059,29.99,50718336,91,AA,505 Games,"One More Level,3D Realms,Slipgate Ironworks™,All in! Games",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1139900/header.jpg?t=1727712844,https://store.steampowered.com/app/1139900
