index,app_name,specs,tags,metascore,number_of_reviews,positive_percent,release_date,price,developer,publisher,release_year,numberof_positive_reviews,release_month
0,Tropico 6,"['Single-player', 'Online PvP', 'Online Co-op']","['City Builder', 'Strategy', 'Simulation', 'Economy', 'Management']",78,9501,87,2019-03-29,0,"Limbic Entertainment, Realmforge Studios",Kalypso Media,2019,826587,3
1,Canvas of Kings,"['Single-player', 'Steam Achievements', 'Steam Workshop']","['Early Access', 'Building', 'Sandbox', 'Design & Illustration', 'Medieval']",,631,93,2023-08-03,0,Hannes Breuer,Hannes Breuer,2023,58683,8
2,Solasta: Crown of the Magister,"['Single-player', 'Online Co-op', 'Cross-Platform Multiplayer']","['RPG', 'Dungeons & Dragons', 'Co-op Campaign', 'Character Customization', 'Turn-Based Combat']",,12913,88,2021-05-27,0,Tactical Adventures,Tactical Adventures,2021,1136344,5
3,Call of Duty® 4: Modern Warfare® (2007),"['Single-player', 'Family Sharing']","['FPS', 'Action', 'Multiplayer', 'Shooter', 'Singleplayer']",92,10425,92,2007-11-12,0,Infinity Ward,Activision,2007,959100,11
4,Fallout Shelter,"['Single-player', 'Steam Achievements', 'In-App Purchases']","['Free to Play', 'Base Building', 'Survival', 'Post-apocalyptic', 'Singleplayer']",63,30479,85,2017-03-29,0,Bethesda Game Studios,Bethesda Softworks,2017,2590715,3
5,"Little Kitty, Big City","['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Cats', 'Cute', 'Wholesome', 'Exploration', 'Cozy']",,5876,96,2024-05-09,0,Double Dagger Studio,Double Dagger Studio,2024,564096,5
6,Dragon Age™ Inquisition,"['Single-player', 'Online Co-op', 'Steam Achievements']","['RPG', 'Open World', 'Character Customization', 'Choices Matter', 'Fantasy']",85,10340,75,2020-06-04,0,BioWare,Electronic Arts,2020,775500,6
7,Blood Trail,"['Single-player', 'Tracked Controller Support', 'VR Only']","['Gore', 'Violent', 'VR', 'Action', 'Sandbox']",,5451,82,2019-03-27,0,Electrovore,Electrovore,2019,446982,3
8,Five Nights at Freddy's 2,"['Single-player', 'Family Sharing']","['Horror', 'Singleplayer', 'Survival Horror', 'Robots', 'Psychological Horror']",62,13098,93,2014-11-10,0,Scott Cawthon,Scott Cawthon,2014,1218114,11
9,Becastled,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Base Building', 'Strategy', 'City Builder', 'Medieval', 'Building']",,2757,83,2025-10-22,0,Mana Potion Studios,"Mana Potion Studios, Pingle Studio Ltd",2025,228831,10
10,Dishonored®: Death of the Outsider™,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Stealth', 'Action', 'First-Person', 'Assassin', 'Female Protagonist']",81,4593,85,2017-09-14,0,Arkane Studios,Bethesda Softworks,2017,390405,9
11,FINAL FANTASY VII EVER CRISIS,"['Single-player', 'Online Co-op', 'Cross-Platform Multiplayer']","['RPG', 'Adventure', 'JRPG', 'Party-Based RPG', '3D']",,2064,58,2023-12-06,0,"Square Enix, Applibot, Inc.",Square Enix,2023,119712,12
12,Travellers Rest,"['Single-player', 'Online Co-op', 'Shared/Split Screen Co-op']","['Life Sim', 'Pixel Graphics', 'Management', 'Farming Sim', 'RPG']",,7192,89,2020-07-28,0,Isolated Games,"Isolated Games, IndieArk",2020,640088,7
13,MechWarrior 5: Clans,"['Single-player', 'Online Co-op', 'Cross-Platform Multiplayer']","['Action', 'Simulation', 'Shooter', 'FPS', 'Mechs']",,4007,74,2024-10-16,0,Piranha Games Inc.,Piranha Games Inc.,2024,296518,10
14,Half-Life 2,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['FPS', 'Action', 'Sci-fi', 'Classic', 'Singleplayer']",96,84450,97,2007-10-10,0,Valve,Valve,2007,8191650,10
15,Pillars of Eternity II: Deadfire,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['RPG', 'Party-Based RPG', 'Isometric', 'CRPG', 'Story Rich']",88,8009,87,2018-05-08,0,Obsidian Entertainment,"Versus Evil, Obsidian Entertainment",2018,696783,5
16,Wolfenstein: Youngblood,"['Single-player', 'Online PvP', 'Online Co-op']","['Action', 'Co-op', 'FPS', 'Female Protagonist', 'Singleplayer']",69,5720,44,2019-07-25,0,"MachineGames, Arkane Studios",Bethesda Softworks,2019,251680,7
17,Teddy's Haven - A Fantasy Inspired Shop Simulator,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Cozy', 'Simulation', 'Management', 'RPG', 'Economy']",,1241,97,2025-05-06,0,Teddy Bear Games LLC,Teddy Bear Games LLC,2025,120377,5
18,Dishonored 2,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Stealth', 'First-Person', 'Action', 'Assassin', 'Singleplayer']",86,18924,88,2016-11-11,0,Arkane Studios,Bethesda Softworks,2016,1665312,11
19,Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles,"['Single-player', 'Online PvP', 'Shared/Split Screen PvP']","['Anime', 'Action', '3D Fighter', 'Adventure', 'Action-Adventure']",,8069,89,2021-10-15,0,CyberConnect2,SEGA,2021,718141,10
20,What Remains of Edith Finch,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Story Rich', 'Atmospheric', 'Walking Simulator', 'First-Person', 'Mystery']",89,16736,94,2017-04-24,0,Giant Sparrow,Annapurna Interactive,2017,1573184,4
21,Overcooked! All You Can Eat,"['Single-player', 'Online PvP', 'Shared/Split Screen PvP']","['Multiplayer', 'Online Co-Op', 'Local Co-Op', 'Cooking', 'Casual']",,1356,71,2021-03-23,0,"Team17 Digital, Ghost Town Games",Team17 Digital,2021,96276,3
22,The Long Drive,"['Single-player', 'Remote Play Together', 'Family Sharing']","['Driving', 'Multiplayer', 'Open World', 'Survival', 'Automobile Sim']",,23890,91,2019-09-25,0,Genesz,Genesz,2019,2173990,9
23,WitchSpring R,"['Single-player', 'Family Sharing']","['Cute', 'RPG', 'Funny', 'Female Protagonist', 'JRPG']",80,2016,97,2023-09-25,0,KIWIWALKS,KIWIWALKS,2023,195552,9
24,Door Kickers 2: Task Force North,"['Single-player', 'Online Co-op', 'Steam Achievements']","['Tactical', 'Top-Down', 'Real Time Tactics', 'Real-Time with Pause', 'Military']",84,7179,96,2025-02-10,0,KillHouse Games,KillHouse Games,2025,689184,2
25,Rue Valley,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Story Rich', 'Adventure', 'Isometric', 'Point & Click', 'Psychological']",,940,60,2025-11-11,0,Emotion Spark Studio,Owlcat Games,2025,56400,11
26,Grimshire,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Pixel Graphics', 'Farming Sim', 'Dark', 'Survival', 'Cozy']",,1237,98,2025-07-22,0,Acute Owl Studio,Acute Owl Studio,2025,121226,7
27,Brush Burial: Gutter World,"['Single-player', 'Family Sharing']","['Assassin', 'Immersive Sim', 'Martial Arts', 'Crime', 'Gothic']",,246,97,2025-11-19,0,Knife Demon Software,Knife Demon Software,2025,23862,11
28,Amanda the Adventurer 3,"['Single-player', 'Steam Achievements', 'Family Sharing']","['Adventure', 'Puzzle', 'Interactive Fiction', 'Choose Your Own Adventure', 'Exploration']",,460,87,2025-11-06,0,MANGLEDmaw Games,DreadXP,2025,40020,11
29,Keep Driving,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Pixel Graphics', 'Atmospheric', 'RPG', 'Inventory Management', 'Adventure']",,2535,93,2025-02-06,0,YCJY Games,YCJY Games,2025,235755,2
30,Conquest of Elysium 5,"['Single-player', 'Online PvP', 'LAN PvP']","['Turn-Based Strategy', 'Strategy', 'Fantasy', '4X', 'Magic']",,1253,89,2021-08-17,0,Illwinter Game Design,Illwinter Game Design,2021,111517,8
31,Your Only Move Is HUSTLE,"['Single-player', 'Online PvP', 'LAN PvP']","['2D Fighter', 'Turn-Based Strategy', 'Action', 'Strategy', 'Spectacle fighter']",,25086,96,2023-02-02,0,Ivy Sly,Ivy Sly,2023,2408256,2
32,Call to Arms: Panzer Elite,"['Single-player', 'Online PvP', 'Online Co-op']","['Early Access', 'Simulation', 'Tanks', 'Action', 'Third Person']",,924,68,2025-09-19,0,Digitalmindsoft,Digitalmindsoft Publishing,2025,62832,9
33,Fallout 4 VR,"['Single-player', 'Tracked Controller Support', 'VR Only']","['VR', 'Open World', 'Post-apocalyptic', 'RPG', 'Singleplayer']",78,4369,60,2017-12-11,0,Bethesda Game Studios,Bethesda Softworks,2017,262140,12
34,Still Wakes the Deep,"['Single-player', 'Steam Achievements', 'Captions available']","['Horror', 'Gore', 'Psychological Horror', 'Lovecraftian', 'Dark']",,5268,89,2024-06-18,0,The Chinese Room,Secret Mode,2024,468852,6
35,Ghost Trick: Phantom Detective,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']","['Puzzle', 'Adventure', 'Mystery', 'Story Rich', 'Detective']",90,1805,97,2023-06-29,0,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.",2023,175085,6
36,Fantasy Maiden Wars - DREAM OF THE STRAY DREAMER -,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['RPG', 'Simulation', 'JRPG', 'Strategy RPG', 'Turn-Based Strategy']",,271,99,2025-10-20,0,さんぼん堂,Phoenixx Inc.,2025,26829,10
37,Brick Rigs,"['Single-player', 'Online PvP', 'Steam Trading Cards']","['Sandbox', 'Destruction', 'Multiplayer', 'Building', 'LEGO']",,25798,94,2023-07-14,0,Fluppisoft GmbH,Fluppisoft GmbH,2023,2425012,7
38,DOOM + DOOM II,"['Single-player', 'Online PvP', 'LAN PvP']","['FPS', 'Classic', ""1990's"", 'Action', 'Retro']",,16112,96,2007-08-03,0,"id Software, Nightdive Studios",Bethesda,2007,1546752,8
